spin	e_nuc	e_t	e_ext	e_coul	e_xc	e_elec	e_tot	ene_check
0	118.54051927252334	311.81978496259364	-979.5489518877828	270.9124557044965	-34.58475258873738	-431.401463809429	-312.86094453690566	True
0	268.30376884050503	686.8618226106134	-2179.551870379432	598.0090704824219	-62.43513919599342	-957.116116482398	-688.812347641893	True
0	526.1678359288502	2126.723912210574	-6118.924604197142	1469.522432066602	-133.1657175927631	-2655.843977512717	-2129.676141583867	True
0	59.540014241412266	183.74384021070375	-552.4488640557636	146.65764814252785	-22.06093423660634	-244.10830993913856	-184.56829569772628	True
0	83.16342210719615	588.7316903174556	-1566.3517254872665	347.8250673564307	-43.22839096399511	-673.0233587773761	-589.8599366701799	True
0	132.2618147106918	352.89559799764265	-1107.0391668585407	305.7081304823122	-37.76022609855287	-486.1956644771363	-353.9338497664445	True
0	188.2152566901375	639.1147495297695	-1903.1612353640407	489.37185453134504	-54.2518806972739	-828.9265120002003	-640.7112553100628	True
0	67.46816672448877	224.47078784229376	-667.4673951248709	175.4573512074597	-25.25376063996454	-292.7930167150825	-225.32484999059375	True
0	72.84940301715545	273.6844958802197	-799.8914658353417	207.8113973567698	-29.001737228443353	-347.39730982679794	-274.5479068096425	True
0	193.57518437907308	757.702781231365	-2194.8432648697208	543.3898395938396	-59.05776688440135	-952.8084109289157	-759.2332265498426	True
0	243.12422434395037	473.72345071395694	-1615.7366269609652	475.79558379560086	-52.185055400055354	-718.4026478514625	-475.2784235075121	True
0	493.2648424809488	1913.4895854819658	-5539.98743640753	1339.9973129295288	-122.9930803912652	-2409.4936183873024	-1916.2287759063536	True
0	230.01971198791736	428.728736113511	-1478.8515614036344	438.48169248071633	-48.598435125311845	-660.2395679347187	-430.2198559468013	True
0	58.435807193145926	115.9188627046983	-387.0136625270429	113.64340943511934	-17.519058352290294	-174.97044873951558	-116.53464154636964	True
0	59.017832449577334	115.9560603229938	-388.1172702217045	114.1276873221652	-17.523920103363334	-175.55744267990877	-116.53961023033145	True
0	63.77686226124134	115.94062648861238	-397.57527453702534	118.91313737554773	-17.559404670355683	-180.28091534322095	-116.5040530819796	True
0	70.70011199448355	117.18784089047558	-414.0596008593149	126.70578678253511	-18.31125021557279	-188.47722340187798	-117.77711140739443	True
0	75.88323953358649	117.1912554565076	-424.3382159640797	131.8582856027039	-18.363123532299735	-193.65179843716714	-117.76855890358065	True
0	82.65057475163931	118.39677385850014	-440.41642902200533	139.4635759731559	-19.09577848755639	-201.6518576779058	-119.0012829262665	True
0	103.60739800660272	155.0706402170736	-568.3136760068701	177.46924110134705	-23.663419592980055	-259.4372142814297	-155.82981627482698	True
0	99.60137464625221	154.98892293338312	-560.3201450791616	173.57469718307905	-23.66040909190626	-255.4169340546061	-155.81555940835386	True
